FAULT LATITUDE & LONGITUDE DATA - ALL INDIA SEISAT SHEETS (COMPILED),,,,,,
SEISAT SHEET,FAULT TYPE,S.NO,FAULT NAME,ABBREVIATION,LONGITUDE,LATITUDE
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,2,Gavligarh fault,F9c,75.6,22.45
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,2,Gavligarh fault,F9c,76,22.5
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,2,Gavligarh fault,F9c,76.2,22.55
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,2,Gavligarh fault,F9c,76.7,22.6
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,2,Gavligarh fault,F9c,77,22.7
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,2,Gavligarh fault,F9c,77.1,22.8
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,3,Gavligarh fault,F9c,76.2,21.4
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,3,Gavligarh fault,F9c,76.3,21.45
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,F9c,76.15,21.4
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,F9c,76.5,21.5
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,F9c,76.8,21.55
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,F9c,77,21.6
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,F9c,77.2,21.7
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,F9c,77.6,21.8
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,4,TAPTI NORTH FAULT,F9c,78,21.98
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,F9c,76.85,21.58
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,F9c,77,21.65
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,F9c,77.2,21.85
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,F9c,77.35,22
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,F9c,77.5,22.2
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,F9c,77.75,22.25
SEISAT-20,FAULT INVOLVING BASEMENT & COVER,5,TAPTI NORTH FAULT,F9c,77.98,21.3
SEISAT-21,NEOTECTONIC FAULT,1,GAVLIGARH FAULT,9d,78,21.45
SEISAT-21,NEOTECTONIC FAULT,1,GAVLIGARH FAULT,9d,78.4,21.65
SEISAT-21,NEOTECTONIC FAULT,1,GAVLIGARH FAULT,9d,79,21.9
SEISAT-21,NEOTECTONIC FAULT,1,GAVLIGARH FAULT,9d,79.2,22
